host,nom,port,service,etat,criticite,remarque
192.168.1.10,SRV-PROD-01,21,FTP,FERME,OK,
192.168.1.10,SRV-PROD-01,22,SSH,FERME,OK,
192.168.1.10,SRV-PROD-01,23,Telnet,FERME,OK,
192.168.1.10,SRV-PROD-01,25,SMTP,FERME,OK,
192.168.1.10,SRV-PROD-01,80,HTTP,FERME,OK,
192.168.1.10,SRV-PROD-01,443,HTTPS,FERME,OK,
192.168.1.10,SRV-PROD-01,445,SMB,FERME,OK,
192.168.1.10,SRV-PROD-01,3306,MariaDB/MySQL,FERME,OK,
192.168.1.10,SRV-PROD-01,3389,RDP,FERME,OK,
192.168.1.10,SRV-PROD-01,4444,Metasploit/C2 (suspect),FERME,OK,
192.168.1.10,SRV-PROD-01,5001,Synology DSM,FERME,OK,
192.168.1.10,SRV-PROD-01,8080,HTTP alternatif,FERME,OK,
192.168.1.10,SRV-PROD-01,8443,HTTPS alternatif,FERME,OK,
192.168.1.20,SRV-WEB-01,21,FTP,FERME,OK,
192.168.1.20,SRV-WEB-01,22,SSH,FERME,OK,
192.168.1.20,SRV-WEB-01,23,Telnet,FERME,OK,
192.168.1.20,SRV-WEB-01,25,SMTP,FERME,OK,
192.168.1.20,SRV-WEB-01,80,HTTP,FERME,OK,
192.168.1.20,SRV-WEB-01,443,HTTPS,FERME,OK,
192.168.1.20,SRV-WEB-01,445,SMB,FERME,OK,
192.168.1.20,SRV-WEB-01,3306,MariaDB/MySQL,FERME,OK,
192.168.1.20,SRV-WEB-01,3389,RDP,FERME,OK,
192.168.1.20,SRV-WEB-01,4444,Metasploit/C2 (suspect),FERME,OK,
192.168.1.20,SRV-WEB-01,5001,Synology DSM,FERME,OK,
192.168.1.20,SRV-WEB-01,8080,HTTP alternatif,FERME,OK,
192.168.1.20,SRV-WEB-01,8443,HTTPS alternatif,FERME,OK,
192.168.1.30,SRV-BDD-01,21,FTP,FERME,OK,
192.168.1.30,SRV-BDD-01,22,SSH,FERME,OK,
192.168.1.30,SRV-BDD-01,23,Telnet,FERME,OK,
192.168.1.30,SRV-BDD-01,25,SMTP,FERME,OK,
192.168.1.30,SRV-BDD-01,80,HTTP,FERME,OK,
192.168.1.30,SRV-BDD-01,443,HTTPS,FERME,OK,
192.168.1.30,SRV-BDD-01,445,SMB,FERME,OK,
192.168.1.30,SRV-BDD-01,3306,MariaDB/MySQL,FERME,OK,
192.168.1.30,SRV-BDD-01,3389,RDP,FERME,OK,
192.168.1.30,SRV-BDD-01,4444,Metasploit/C2 (suspect),FERME,OK,
192.168.1.30,SRV-BDD-01,5001,Synology DSM,FERME,OK,
192.168.1.30,SRV-BDD-01,8080,HTTP alternatif,FERME,OK,
192.168.1.30,SRV-BDD-01,8443,HTTPS alternatif,FERME,OK,
192.168.1.1,FW-01,21,FTP,FERME,OK,
192.168.1.1,FW-01,22,SSH,FERME,OK,
192.168.1.1,FW-01,23,Telnet,FERME,OK,
192.168.1.1,FW-01,25,SMTP,FERME,OK,
192.168.1.1,FW-01,80,HTTP,FERME,OK,
192.168.1.1,FW-01,443,HTTPS,FERME,OK,
192.168.1.1,FW-01,445,SMB,FERME,OK,
192.168.1.1,FW-01,3306,MariaDB/MySQL,FERME,OK,
192.168.1.1,FW-01,3389,RDP,FERME,OK,
192.168.1.1,FW-01,4444,Metasploit/C2 (suspect),FERME,OK,
192.168.1.1,FW-01,5001,Synology DSM,FERME,OK,
192.168.1.1,FW-01,8080,HTTP alternatif,FERME,OK,
192.168.1.1,FW-01,8443,HTTPS alternatif,FERME,OK,
192.168.1.50,NAS-01,21,FTP,FERME,OK,
192.168.1.50,NAS-01,22,SSH,FERME,OK,
192.168.1.50,NAS-01,23,Telnet,FERME,OK,
192.168.1.50,NAS-01,25,SMTP,FERME,OK,
192.168.1.50,NAS-01,80,HTTP,FERME,OK,
192.168.1.50,NAS-01,443,HTTPS,FERME,OK,
192.168.1.50,NAS-01,445,SMB,FERME,OK,
192.168.1.50,NAS-01,3306,MariaDB/MySQL,FERME,OK,
192.168.1.50,NAS-01,3389,RDP,FERME,OK,
192.168.1.50,NAS-01,4444,Metasploit/C2 (suspect),FERME,OK,
192.168.1.50,NAS-01,5001,Synology DSM,FERME,OK,
192.168.1.50,NAS-01,8080,HTTP alternatif,FERME,OK,
192.168.1.50,NAS-01,8443,HTTPS alternatif,FERME,OK,
192.168.1.100,PC-ADM-01,21,FTP,FERME,OK,
192.168.1.100,PC-ADM-01,22,SSH,FERME,OK,
192.168.1.100,PC-ADM-01,23,Telnet,FERME,OK,
192.168.1.100,PC-ADM-01,25,SMTP,FERME,OK,
192.168.1.100,PC-ADM-01,80,HTTP,FERME,OK,
192.168.1.100,PC-ADM-01,443,HTTPS,FERME,OK,
192.168.1.100,PC-ADM-01,445,SMB,FERME,OK,
192.168.1.100,PC-ADM-01,3306,MariaDB/MySQL,FERME,OK,
192.168.1.100,PC-ADM-01,3389,RDP,FERME,OK,
192.168.1.100,PC-ADM-01,4444,Metasploit/C2 (suspect),FERME,OK,
192.168.1.100,PC-ADM-01,5001,Synology DSM,FERME,OK,
192.168.1.100,PC-ADM-01,8080,HTTP alternatif,FERME,OK,
192.168.1.100,PC-ADM-01,8443,HTTPS alternatif,FERME,OK,
